Author,Quote
John D. Rockefeller,The way to make money is to buy when blood is running in the streets.
Dietrich Bonhoeffer,"If you board the wrong train, it is no use running along the corridor in the other direction."
Steve Prefontaine,"Over the years, I've given myself a thousand reasons to keep running, but it always comes back to where it started. It comes down to self-satisfaction and a sense of achievement."
Rodney Dangerfield,"The way my luck is running, if I was a politician I would be honest."
Thich Nhat Hanh,"We will be more successful in all our endeavors if we can let go of the habit of running all the time, and take little pauses to relax and re-center ourselves. And we'll also have a lot more joy in living."
Elon Musk,"We're running the most dangerous experiment in history right now, which is to see how much carbon dioxide the atmosphere... can handle before there is an environmental catastrophe."
Lee Kuan Yew,The problem is to keep the monkey mind from running off into all kinds of thoughts.
Jay-Z,Rosa Parks sat so Martin Luther King could walk. Martin Luther King walked so Obama could run. Obama's running so we all can fly.
Kamala Harris,Running for office is similar to being a trial lawyer in a very long trial. It requires adrenaline and stamina; it requires being in shape mentally and emotionally. It's a marathon.
James Thurber,"All men should strive to learn before they die, what they are running from, and to, and why."
Princess Diana,Nothing brings me more happiness than trying to help the most vulnerable people in society. It is a goal and an essential part of my life - a kind of destiny. Whoever is in distress can call on me. I will come running wherever they are.
SZA,"Especially when I'm nervous, my mind is running a mile a minute. My ADHD speaks for me before I can speak for me."
Mickey Mantle,After I hit a home run I had a habit of running the bases with my head down. I figured the pitcher already felt bad enough without me showing him up rounding the bases.
Nelson Mandela,"Running taught me valuable lessons. In cross-country competition, training counted more than intrinsic ability, and I could compensate for a lack of natural aptitude with diligence and discipline. I applied this in everything I did."
Becca Fitzpatrick,"After a long day, my favorite way to unwind is by going running. Not exactly the most relaxing activity, granted, but I always imagine I'm sweating out all the things weighing on my mind."
Neil Armstrong,I believe that every human has a finite number of heartbeats. I don't intend to waste any of mine running around doing exercises.
Bernard Baruch,Two things are bad for the heart - running up stairs and running down people.
Sargun Mehta,"Say, my father runs a business, and today my brother is running it for him. There are people who have worked with him for 30 years, but today, my brother is the boss. That's not fair, but that's what parents do, and that's what a legacy is supposed to be."
Joanne Woodward,"I was not a very good mother. I was always running out to do a movie or something. If I had to do it over, I would either have a career or children. I wouldn't do both unless I could work in my home. I spent 20 years feeling guilty, which is not a very nice emotion."
Eliud Kipchoge,"To me, running is life. I run to live longer and enjoy a healthier life."
Vin Diesel,"I shaved my head about 15 years ago and the first time I shaved it, I started running my hand through my hair and it was very therapeutic."
Jessica Rothe,"People can change, learn, and grow, and it's better to face your demons instead of perpetually running away from them."
Dwayne Johnson,"I've always seen first responders as unsung heroes and very special people because, when everyone else is running away from danger, they run into it."
Ellie Goulding,"I'm obsessed with the countryside: woods, forests, fields, lakes, mountains. I'm really into folk music and folklore. But more so I'm into electronic music. I'm into bands that have both aspects, like Boards of Canada is a perfect example. You could listen to that type of music running through a woods. It's kind of what I wanted to achieve."
Nora Ephron,"As far as the men who are running for president are concerned, they aren't even people I would date."
Hunter S. Thompson,"Marathon running, like golf, is a game for players, not winners. That is why Callaway sells golf clubs and Nike sells running shoes. But running is unique in that the world's best racers are on the same course, at the same time, as amateurs, who have as much chance of winning as your average weekend warrior would scoring a touchdown in the NFL."
Stokely Carmichael,"Our grandfathers had to run, run, run. My generation's out of breath. We ain't running no more."
Noah Schnapp,I've done enough running from monsters. It's time to do some chasing.
Leonard Cohen,"The older I get, the surer I am that I'm not running the show."
Saint Teresa of Avila,The tree that is beside the running water is fresher and gives more fruit.
Kurt Vonnegut,True terror is to wake up one morning and discover that your high school class is running the country.
Horace,"You may drive out nature with a pitchfork, yet she'll be constantly running back."
Mao Zedong,"In general, any form of exercise, if pursued continuously, will help train us in perseverance. Long-distance running is particularly good training in perseverance."
William J. Clinton,Being president is like running a cemetery: you've got a lot of people under you and nobody's listening.
H. L. Mencken,Democracy is the art and science of running the circus from the monkey cage.
