Author,Quote
Rabindranath Tagore,You can't cross the sea merely by standing and staring at the water.
Friedrich Nietzsche,"God is dead. God remains dead. And we have killed him. Yet his shadow still looms. How shall we comfort ourselves, the murderers of all murderers? What was holiest and mightiest of all that the world has yet owned has bled to death under our knives; who will wipe this blood off us? What water is there for us to clean ourselves?"
W. H. Auden,"Thousands have lived without love, not one without water."
Christopher Morley,"Heavy hearts, like heavy clouds in the sky, are best relieved by the letting of a little water."
Alan Watts,"To have faith is to trust yourself to the water. When you swim you don't grab hold of the water, because if you do you will sink and drown. Instead you relax, and float."
Dennis Rodman,"This life is like a swimming pool. You dive into the water, but you can't see how deep it is."
Lyndon B. Johnson,"If one morning I walked on top of the water across the Potomac River, the headline that afternoon would read: 'President Can't Swim.'"
Dean Ornish,"The need for connection and community is primal, as fundamental as the need for air, water, and food."
John Lubbock,"Rest is not idleness, and to lie sometimes on the grass under trees on a summer's day, listening to the murmur of the water, or watching the clouds float across the sky, is by no means a waste of time."
Sophocles,The oaths of a woman I inscribe on water.
Ray Charles,"I was born with music inside me. Music was one of my parts. Like my ribs, my kidneys, my liver, my heart. Like my blood. It was a force already within me when I arrived on the scene. It was a necessity for me - like food or water."
John W. Gardner,The society which scorns excellence in plumbing as a humble activity and tolerates shoddiness in philosophy because it is an exalted activity will have neither good plumbing nor good philosophy: neither its pipes nor its theories will hold water.
John Burroughs,To find the universal elements enough; to find the air and the water exhilarating; to be refreshed by a morning walk or an evening saunter... to be thrilled by the stars at night; to be elated over a bird's nest or a wildflower in spring - these are some of the rewards of the simple life.
John Ray,Good words cool more than cold water.
Antoine de Saint-Exupery,"For true love is inexhaustible; the more you give, the more you have. And if you go to draw at the true fountainhead, the more water you draw, the more abundant is its flow."
Wangari Maathai,"Until you dig a hole, you plant a tree, you water it and make it survive, you haven't done a thing. You are just talking."
Zig Ziglar,You don't drown by falling into water. You only drown if you stay there.
Alok Sharma,"Infrastructure is the backbone of economic growth. It improves access to basic services such as clean water and electricity, creates jobs and boosts business."
Joyce Meyer,"God has equipped you to handle difficult things. In fact, He has already planted the seeds of discipline and self-control inside you. You just have to water those seeds with His Word to make them grow!"
W. C. Fields,I never drink water; that is the stuff that rusts pipes.
Kim Young-ha,Don't be a fish; be a frog. Swim in the water and jump when you hit ground.
Rory McIlroy,"On the course, I sometimes eat a little sandwich or a slow-release energy bar - one on the front nine and one on the back nine. You're out there five hours, so you have to keep eating. You're going to burn at least 1,000 calories. I'll try to take in about 400-600 calories during a round and drink water."
Carl Hiaasen,My escape is to just get in a boat and disappear on the water.
Muhammad Ali,"Rivers, ponds, lakes and streams - they all have different names, but they all contain water. Just as religions do - they all contain truths."
David Bowie,I'm an instant star. Just add water and stir.
Thomas Carlyle,"The work an unknown good man has done is like a vein of water flowing hidden underground, secretly making the ground green."
Ivanka Trump,"I pretty much only drink water, Tazo passion tea, or coffee with half and half, and it's an ongoing joke in the office that I never have less than three glasses of water and some form of tea or coffee in front of me."
George Foreman,"That's my gift. I let that negativity roll off me like water off a duck's back. If it's not positive, I didn't hear it. If you can overcome that, fights are easy."
Sigmund Freud,"The mind is like an iceberg, it floats with one-seventh of its bulk above water."
Napoleon Bonaparte,"Water, air, and cleanness are the chief articles in my pharmacy."
Eleanor Roosevelt,A woman is like a tea bag - you can't tell how strong she is until you put her in hot water.
Mitch Hedberg,My fake plants died because I did not pretend to water them.
Karen Blixen,"The cure for anything is salt water: sweat, tears or the sea."
Lao Tzu,"Nothing is softer or more flexible than water, yet nothing can resist it."
Leonardo da Vinci,Iron rusts from disuse; water loses its purity from stagnation... even so does inaction sap the vigor of the mind.
Loren Eiseley,"If there is magic on this planet, it is contained in water."
Groucho Marx,"Well, Art is Art, isn't it? Still, on the other hand, water is water. And east is east and west is west and if you take cranberries and stew them like applesauce they taste much more like prunes than rhubarb does. Now you tell me what you know."
"Tyler, The Creator","If the world was ending, I think I would grab some Cinnamon Toast Crunch, a bunch of water, and I'd probably just... I'd probably go crazy."
Toni Morrison,All water has a perfect memory and is forever trying to get back to where it was.
Audrey Hepburn,"Water is life, and clean water means health."
